#,Season,Date,Site,Cars,Winner(s),St,Make/Model,Len,Sfc,Miles,Purse,Pole,Cau,Laps,Speed,LC
19,2017,7/16/17,Loudon,39,Denny Hamlin,8,Toyota,1.058,P,318,,133.077,7,34,105.8,11
20,2017,7/23/17,Indianapolis,40,Kasey Kahne,19,Chevrolet,2.5,P,418,,187.301,14,55,114.384,10
21,2017,7/30/17,Pocono,38,Kyle Busch,1,Toyota,2.5,P,400,,179.372,5,21,141.08,16
22,2017,8/6/17,Watkins Glen,37,"Martin Truex, Jr.",3,Toyota,2.45,R,221,,126.925,3,8,104.132,9
23,2017,8/13/17,Michigan,39,Kyle Larson,9,Chevrolet,2,P,404,,203.097,5,28,150.903,14
24,2017,8/19/17,Bristol,40,Kyle Busch,18,Toyota,0.533,P,267,,128.082,8,53,95.969,21
25,2017,9/3/17,Darlington,40,Denny Hamlin,9,Toyota,1.366,P,501,,177.73,8,38,132.761,20
26,2017,9/9/17,Richmond,39,Kyle Larson,4,Chevrolet,0.75,P,303,,122.421,7,38,99.417,13
27,2017,9/17/17,Chicago,40,"Martin Truex, Jr.",3,Toyota,1.5,P,401,,187.963,4,21,145.401,12
28,2017,9/24/17,Loudon,39,Kyle Busch,1,Toyota,1.058,P,317,,135.049,6,32,108.958,6
29,2017,10/1/17,Dover,40,Kyle Busch,2,Toyota,1,P,400,,160.664,4,24,129.171,15
30,2017,10/8/17,Charlotte,40,"Martin Truex, Jr.",17,Toyota,1.5,P,506,,191.598,10,44,139.128,14
31,2017,10/15/17,Talladega,40,Brad Keselowski,6,Ford,2.66,P,500,,190.544,11,47,131.677,30
32,2017,10/22/17,Kansas,40,"Martin Truex, Jr.",1,Toyota,1.5,P,401,,188.029,10,49,125.189,14
33,2017,10/29/17,Martinsville,40,Kyle Busch,14,Toyota,0.526,P,266,,96.504,11,74,74.902,16
34,2017,11/5/17,Fort Worth,40,Kevin Harvick,3,Ford,1.5,P,501,,200.915,8,40,143.234,27
35,2017,11/12/17,Phoenix,40,Matt Kenseth,7,Toyota,1,P,312,,137.942,7,41,105.534,9
36,2017,11/19/17,Homestead,39,"Martin Truex, Jr.",2,Toyota,1.5,P,401,,173.98,5,26,131.9,13
