Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2020,36,Timmy Hill,33,38,36,33,39,38,-4,5,9,0,0,2,0,0,0,0,288,25.5
2020,36,Garrett Smithley,39,35,37,31,39,35,-7,9,16,0,0,0,0,0,0,0,261,31.2
2020,36,Corey LaJoie,28,37,38,7,39,31,-12,60,72,7,11.7,8,6,2.8,0,0,215,49.2
2020,36,Quin Houff,34,39,39,33,39,38,-7,6,13,0,0,0,0,0,0,0,149,26.5
2020,35,Chase Elliott,8,1,1,1,17,3,33,50,17,50,100,110,497,99.4,236,47.2,500,145.6
2020,35,Ryan Blaney,10,4,2,1,28,7,29,59,30,39,66.1,51,432,86.4,36,7.2,500,118.6
2020,35,Joey Logano,7,8,3,1,23,5,7,44,37,42,95.5,23,495,99,19,3.8,500,116.1
2020,35,Brad Keselowski,1,7,4,1,24,8,27,69,42,60,87,27,465,93,3,0.6,500,103.9
2020,35,Kurt Busch,5,6,5,1,22,6,14,58,44,54,93.1,6,486,97.2,23,4.6,500,108.6
2020,35,Alex Bowman,3,9,6,1,14,7,-5,40,45,37,92.5,8,500,100,1,0.2,500,102.2
2020,35,Aric Almirola,20,12,7,3,31,11,-23,56,79,47,83.9,12,449,89.8,0,0,500,91.8
2020,35,Clint Bowyer,16,13,8,1,32,13,40,90,50,47,52.2,10,386,77.2,0,0,500,89.8
2020,35,Kyle Busch,9,5,9,1,20,7,2,48,46,45,93.8,9,493,98.6,5,1,500,99.4
2020,35,Matt DiBenedetto,12,17,10,6,23,15,-15,78,93,38,48.7,0,250,50,0,0,500,79.5
2020,35,Denny Hamlin,4,2,11,1,29,8,27,61,34,44,72.1,25,420,84,42,8.4,500,97.4
2020,35,Erik Jones,19,15,12,9,30,15,20,64,44,36,56.2,2,323,64.6,0,0,500,82.1
2020,35,Cole Custer,15,14,13,3,26,14,-7,65,72,44,67.7,0,360,72,0,0,500,81.5
2020,35,Matt Kenseth,31,26,14,11,32,22,27,73,46,7,9.6,3,48,9.6,0,0,500,67.6
2020,35,Christopher Bell,11,20,15,7,29,17,0,73,73,12,16.4,0,141,28.2,0,0,500,73.8
2020,35,Ty Dillon,25,16,16,4,30,20,-17,78,95,16,20.5,0,82,16.4,0,0,500,67
2020,35,Kevin Harvick,6,31,17,1,32,21,-3,42,45,22,52.4,5,179,35.8,0,0,500,77.5
2020,35,Ryan Newman,21,10,18,6,23,15,1,62,61,40,64.5,0,279,55.9,0,0,499,73.7
2020,35,Ryan Preece,22,27,19,12,31,24,-1,58,59,0,0,0,0,0,0,0,499,55
2020,35,"Ricky Stenhouse, Jr.",18,21,20,5,29,21,-7,66,73,2,3,0,6,1.2,0,0,499,63
2020,35,Bubba Wallace,32,22,21,6,32,23,-3,53,56,6,11.3,0,44,8.8,0,0,499,55.8
2020,35,"Martin Truex, Jr.",2,3,22,1,25,4,-9,40,49,33,82.5,75,471,94.4,129,25.9,499,111.6
2020,35,Austin Dillon,14,18,23,4,27,20,-21,67,88,12,17.9,0,61,12.2,0,0,498,60.3
2020,35,Tyler Reddick,17,23,24,8,30,23,-20,49,69,0,0,1,10,2,0,0,498,57.5
2020,35,Corey LaJoie,26,19,25,1,30,20,-22,80,102,8,10,1,86,17.3,6,1.2,498,59.5
2020,35,John Hunter Nemechek,23,24,26,9,30,26,-24,43,67,0,0,0,5,1,0,0,498,48.2
2020,35,Daniel Suarez,29,25,27,8,32,27,-3,69,72,0,0,1,1,0.2,0,0,497,44.7
2020,35,Michael McDowell,24,33,28,23,39,33,-12,7,19,0,0,8,0,0,0,0,497,36.5
2020,35,Timmy Hill,34,29,29,8,37,31,-3,17,20,0,0,2,3,0.6,0,0,495,38.8
2020,35,Jimmie Johnson,27,28,30,3,32,24,-3,55,58,21,38.2,22,87,17.6,0,0,495,55.1
2020,35,J.J. Yeley,38,30,31,16,38,31,-1,17,18,0,0,0,0,0,0,0,494,39.5
2020,35,Josh Bilicki,33,34,32,32,38,34,-5,5,10,0,0,1,0,0,0,0,490,33.5
2020,35,Quin Houff,35,35,33,33,39,35,-3,5,8,0,0,0,0,0,0,0,489,28.8
2020,35,Joey Gase,39,36,34,34,39,36,6,8,2,0,0,1,0,0,0,0,447,31.4
2020,35,William Byron,13,11,35,2,15,14,-5,53,58,51,96.2,7,439,100,0,0,439,73.5
2020,35,James Davison,37,32,36,31,39,34,5,11,6,0,0,0,0,0,0,0,422,32.8
2020,35,Brennan Poole,30,37,37,10,33,35,-4,15,19,0,0,0,1,0.5,0,0,184,33.7
2020,35,Chris Buescher,28,38,38,13,34,34,-19,30,49,0,0,3,1,0.7,0,0,146,36.5
2020,35,Garrett Smithley,36,39,39,32,38,38,-1,8,9,0,0,1,0,0,0,0,100,26.9
2020,34,Kyle Busch,9,3,1,1,35,7,17,106,89,60,56.6,48,293,87.7,90,26.9,334,127.4
2020,34,"Martin Truex, Jr.",6,1,2,1,30,4,22,85,63,56,65.9,26,311,93.1,53,15.9,334,129.7
2020,34,Christopher Bell,15,18,3,1,32,14,64,146,82,51,34.9,31,168,50.3,5,1.5,334,99
2020,34,Ryan Blaney,10,2,4,1,31,6,22,100,78,64,64,25,315,94.3,20,6,334,118.3
2020,34,Alex Bowman,5,7,5,1,28,8,9,107,98,69,64.5,24,274,82,43,12.9,334,110.1
2020,34,Brad Keselowski,3,14,6,1,27,10,17,136,119,104,76.5,5,273,81.7,0,0,334,93.6
2020,34,Kurt Busch,8,22,7,5,30,14,-1,105,106,52,49.5,1,206,61.7,0,0,334,87.4
2020,34,Matt DiBenedetto,14,15,8,1,22,9,-8,107,115,83,77.6,2,309,92.5,2,0.6,334,96.2
2020,34,Denny Hamlin,7,13,9,2,33,14,-35,119,154,54,45.4,1,223,66.8,0,0,334,81.2
2020,34,Joey Logano,2,9,10,2,25,8,-14,87,101,52,59.8,3,314,94,0,0,334,94.7
2020,34,Austin Dillon,12,5,11,3,29,10,7,120,113,89,74.2,2,309,92.5,0,0,334,91.5
2020,34,"Ricky Stenhouse, Jr.",22,19,12,2,31,19,8,132,124,44,33.3,7,71,21.3,0,0,334,74.4
2020,34,William Byron,11,11,13,3,26,12,10,140,130,103,73.6,8,303,90.7,0,0,334,86.5
2020,34,Cole Custer,16,16,14,4,28,16,16,141,125,74,52.5,4,180,53.9,0,0,334,77.4
2020,34,Tyler Reddick,19,20,15,8,26,16,-3,134,137,60,44.8,4,174,52.1,0,0,334,71.8
2020,34,Kevin Harvick,1,6,16,1,38,17,-29,96,125,41,42.7,19,141,42.3,28,8.4,333,82.6
2020,34,Clint Bowyer,21,4,17,1,24,7,-13,103,116,58,56.3,34,267,80.2,89,26.7,333,112
2020,34,Ryan Preece,29,21,18,3,33,22,8,135,127,13,9.6,0,12,3.6,0,0,333,63.3
2020,34,Ryan Newman,25,24,19,5,32,21,3,101,98,10,9.9,2,13,3.9,0,0,333,61.1
2020,34,Chase Elliott,4,8,20,2,28,13,-16,85,101,49,57.6,6,200,60.1,0,0,333,92.4
2020,34,Erik Jones,17,17,21,1,26,15,-10,100,110,43,43,8,145,43.5,2,0.6,333,76.3
2020,34,John Hunter Nemechek,24,12,22,8,32,17,23,126,103,43,34.1,7,122,36.7,0,0,332,69.8
2020,34,Aric Almirola,13,23,23,1,34,22,13,133,120,38,28.6,2,64,19.3,1,0.3,332,61.4
2020,34,Ty Dillon,27,26,24,12,39,26,-6,74,80,2,2.7,1,1,0.3,0,0,332,52.6
2020,34,Corey LaJoie,28,27,25,12,32,24,-14,72,86,3,4.2,0,3,0.9,0,0,331,52.3
2020,34,Michael McDowell,23,25,26,12,32,24,-5,61,66,1,1.6,1,5,1.5,0,0,331,54.1
2020,34,Daniel Suarez,30,28,27,17,34,27,-11,58,69,0,0,0,0,0,0,0,328,47.2
2020,34,Brennan Poole,31,29,28,1,34,28,-11,31,42,0,0,0,8,2.4,1,0.3,328,45.2
2020,34,Josh Bilicki,37,31,29,13,37,31,-18,27,45,0,0,1,1,0.3,0,0,326,41.6
2020,34,Timmy Hill,36,32,30,4,37,31,1,16,15,0,0,0,4,1.2,0,0,325,37.3
2020,34,Garrett Smithley,38,30,31,2,38,31,-9,21,30,0,0,0,5,1.5,0,0,325,38.7
2020,34,Reed Sorenson,35,33,32,32,39,34,-1,8,9,0,0,1,0,0,0,0,321,34.4
2020,34,Quin Houff,34,35,33,30,39,35,-2,13,15,0,0,1,0,0,0,0,316,34.4
2020,34,Chris Buescher,20,36,34,16,40,37,4,8,4,0,0,0,0,0,0,0,310,32.2
2020,34,Chad Finchum,40,34,35,24,40,34,-15,10,25,0,0,1,0,0,0,0,310,31.7
2020,34,Jimmie Johnson,26,10,36,1,26,13,-13,112,125,82,73.2,10,257,92.1,0,0,279,74.1
2020,34,Joey Gase,39,37,37,6,40,35,-2,6,8,0,0,0,1,0.5,0,0,184,31.3
2020,34,Bubba Wallace,18,38,38,9,29,34,-5,23,28,18,78.3,0,31,52.5,0,0,59,41.2
2020,34,Matt Kenseth,32,39,39,11,34,36,-4,20,24,5,25,1,7,11.9,0,0,59,36.5
2020,34,J.J. Yeley,33,40,40,30,35,39,-1,2,3,0,0,0,0,0,0,0,20,25.3
2020,33,Joey Logano,2,15,1,1,23,6,-15,68,83,46,67.6,7,246,92.1,47,17.6,267,118.3
2020,33,Kevin Harvick,4,8,2,1,26,3,13,86,73,62,72.1,61,262,98.1,85,31.8,267,137.1
2020,33,Alex Bowman,6,11,3,2,28,7,3,93,90,71,76.3,20,256,95.9,0,0,267,109.5
2020,33,Brad Keselowski,8,10,4,1,20,5,11,87,76,77,88.5,26,262,98.1,6,2.2,267,115.4
2020,33,Kyle Busch,20,20,5,1,27,12,-11,105,116,58,55.2,9,187,70,4,1.5,267,94.5
2020,33,Chase Elliott,1,9,6,1,17,5,2,79,77,70,88.6,28,264,98.9,48,18,267,118.3
2020,33,Ryan Blaney,9,7,7,1,16,5,3,74,71,65,87.8,15,265,99.3,0,0,267,116.6
2020,33,William Byron,10,16,8,1,24,12,-14,95,109,65,68.4,4,204,76.4,3,1.1,267,89
2020,33,"Martin Truex, Jr.",5,14,9,2,31,10,27,109,82,78,71.6,10,249,93.3,0,0,267,98.2
2020,33,Christopher Bell,22,12,10,6,27,13,35,138,103,87,63,4,214,80.1,0,0,267,90.1
2020,33,Austin Dillon,17,18,11,9,25,15,-16,82,98,55,67.1,0,163,61,0,0,267,81.3
2020,33,Matt DiBenedetto,18,1,12,1,28,15,15,101,86,56,55.4,0,157,58.8,12,4.5,267,77.4
2020,33,Aric Almirola,16,19,13,3,28,16,4,108,104,19,17.6,1,117,43.8,0,0,267,77.1
2020,33,Cole Custer,13,23,14,5,25,16,12,112,100,53,47.3,2,157,58.8,0,0,267,78.3
2020,33,Denny Hamlin,7,6,15,1,29,9,-15,77,92,54,70.1,13,198,74.2,58,21.7,267,101.9
2020,33,"Ricky Stenhouse, Jr.",23,25,16,5,30,20,-5,95,100,19,20,0,52,19.5,0,0,267,68
2020,33,John Hunter Nemechek,32,26,17,14,32,22,18,98,80,1,1,2,1,0.4,0,0,267,65
