Race,Rank,PlusMinus,Driver,Points,Back,Starts,Pole,Win,Top5,Top10,StageWins,PlayoffPoints
8,24,0,Matt DiBenedetto,129,-232,8,0,0,0,0,0,0
8,25,0,Ryan Preece,109,-252,8,0,0,0,1,0,0
8,26,1,David Ragan,100,-261,8,0,0,0,0,0,0
8,27,1,Bubba Wallace,100,-261,8,0,0,0,0,0,0
8,28,-2,Michael McDowell,93,-268,8,0,0,1,1,0,0
8,29,0,Daniel Hemric,79,-282,8,0,0,0,0,0,0
8,30,1,Matt Tifft,72,-289,8,0,0,0,0,0,0
8,31,-1,Corey LaJoie,70,-291,8,0,0,0,0,0,0
8,32,0,Landon Cassill,60,-301,8,0,0,0,0,0,0
8,33,0,Jamie McMurray,19,-342,1,0,0,0,0,0,0
8,34,0,Cody Ware,18,-343,6,0,0,0,0,0,0
8,35,0,Quin Houff,12,-349,2,0,0,0,0,0,0
8,36,0,Reed Sorenson,7,-354,3,0,0,0,0,0,0
8,37,0,Casey Mears,1,-360,1,0,0,0,0,0,0
8,38,0,Tyler Reddick,0,-361,1,0,0,0,0,0,0
8,39,0,Timmy Hill,0,-361,1,0,0,0,0,0,0
8,40,0,Ross Chastain,0,-361,1,0,0,0,0,0,0
8,41,0,Parker Kligerman,0,-361,1,0,0,0,0,0,0
8,42,0,Joey Gase,0,-361,1,0,0,0,0,0,0
8,43,0,Jeb Burton,0,-361,2,0,0,0,0,0,0
8,44,0,Gray Gaulding,0,-361,2,0,0,0,0,0,0
8,45,0,Garrett Smithley,0,-361,3,0,0,0,0,0,0
8,46,0,DJ Kennington,0,-361,3,0,0,0,0,0,0
8,47,0,Brendan Gaughan,0,-361,4,0,0,0,0,0,0
8,48,0,BJ McLeod,0,-361,5,0,0,0,0,0,0
8,49,0,Bayley Currey,0,-361,8,0,0,0,1,0,0
8,50,0,Ryan Truex,0,-361,1,0,0,0,0,0,0
9,1,0,Kyle Busch,400,0,9,0,3,6,9,5,20
9,2,1,Joey Logano,380,-20,9,1,1,5,6,4,9
9,3,-1,Denny Hamlin,366,-34,9,0,2,6,8,1,11
9,4,0,Kevin Harvick,349,-51,9,2,0,4,7,2,2
9,5,0,Brad Keselowski,313,-87,9,0,2,4,5,2,12
9,6,1,"Martin Truex, Jr.",311,-89,9,0,1,3,6,0,5
9,7,1,Kurt Busch,287,-113,9,0,0,3,6,0,0
9,8,3,Clint Bowyer,280,-120,9,0,0,3,5,0,0
9,9,-3,Ryan Blaney,277,-123,9,1,0,4,4,2,2
9,10,0,Chase Elliott,267,-133,9,1,0,1,2,0,0
9,11,-2,Aric Almirola,260,-140,9,1,0,1,6,0,0
9,12,0,Daniel Suarez,235,-165,9,0,0,1,4,0,0
9,13,0,Jimmie Johnson,234,-166,9,1,0,1,4,0,0
9,14,3,Austin Dillon,216,-184,9,1,0,0,2,0,0
9,15,0,Ryan Newman,216,-184,9,0,0,0,2,0,0
9,16,3,Paul Menard,213,-187,9,0,0,0,2,0,0
9,17,0,Erik Jones,212,-188,9,0,0,2,3,0,0
9,18,-2,"Ricky Stenhouse, Jr.",208,-192,9,0,0,0,1,0,0
9,19,-5,Kyle Larson,204,-196,9,0,0,0,2,1,1
9,20,0,William Byron,198,-202,9,1,0,0,1,0,0
9,21,0,Alex Bowman,186,-214,9,0,0,0,0,0,0
9,22,0,Ty Dillon,172,-228,9,0,0,0,1,1,1
9,23,0,Chris Buescher,167,-233,9,0,0,0,1,0,0
9,24,0,Matt DiBenedetto,142,-258,9,0,0,0,0,0,0
9,25,0,Ryan Preece,126,-274,9,0,0,0,1,0,0
9,26,1,Bubba Wallace,110,-290,9,0,0,0,0,0,0
9,27,-1,David Ragan,109,-291,9,0,0,0,0,0,0
9,28,1,Daniel Hemric,97,-303,9,0,0,0,0,0,0
9,29,-1,Michael McDowell,94,-306,9,0,0,1,1,0,0
9,30,1,Corey LaJoie,81,-319,9,0,0,0,0,0,0
9,31,-1,Matt Tifft,80,-320,9,0,0,0,0,0,0
9,32,0,Landon Cassill,62,-338,9,0,0,0,0,0,0
9,33,0,Jamie McMurray,19,-381,1,0,0,0,0,0,0
9,34,0,Cody Ware,18,-382,6,0,0,0,0,0,0
9,35,0,Quin Houff,15,-385,3,0,0,0,0,0,0
9,36,0,Reed Sorenson,7,-393,3,0,0,0,0,0,0
9,37,0,Casey Mears,1,-399,1,0,0,0,0,0,0
9,38,0,Ross Chastain,0,-400,9,0,0,0,1,0,0
9,39,0,Parker Kligerman,0,-400,4,0,0,0,0,0,0
9,40,0,BJ McLeod,0,-400,5,0,0,0,0,0,0
9,41,0,Brendan Gaughan,0,-400,1,0,0,0,0,0,0
9,42,0,Tyler Reddick,0,-400,1,0,0,0,0,0,0
9,43,0,Bayley Currey,0,-400,4,0,0,0,0,0,0
9,44,4,Jeb Burton,0,-400,2,0,0,0,0,0,0
9,45,-1,Garrett Smithley,0,-400,3,0,0,0,0,0,0
9,46,-1,DJ Kennington,0,-400,1,0,0,0,0,0,0
