Season,Rank,Team,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2018,35,Field,Cole Whitt,13,0,0,0,0,3389,0,33.5,26.8,12,4333.92,2,132,"-4,908",0
2018,36,Field,Gray Gaulding,20,0,0,0,0,4997,0,32.4,31.4,16,6630.1,0,119,"-4,921",0
2018,37,Field,Jeffrey Earnhardt,17,0,0,0,0,4056,0,33.5,30.9,14,6546.96,2,110,"-4,930",0
2018,38,Field,Kyle Weatherman,7,0,0,0,0,1774,0,32.7,32.3,6,2692.05,0,33,"-5,007",0
2018,39,Field,Harrison Rhodes,6,0,0,0,0,1920,0,36,33.5,4,1868.22,0,24,"-5,016",0
2018,40,Field,Blake Jones,3,0,0,0,0,968,0,38.7,30,3,952.26,0,21,"-5,019",0
2018,41,Field,Mark Thompson,1,0,0,0,0,203,0,40,22,1,507.5,0,15,"-5,025",0
2018,42,Field,Cody Ware,4,0,0,0,0,777,0,38.2,34.5,2,1125.68,0,11,"-5,029",0
2018,43,Field,Derrike Cope,3,0,0,0,0,642,0,37.3,34.7,2,996.63,0,8,"-5,032",0
2018,44,Field,Tanner Berryhill,2,0,0,0,0,537,0,36.5,34.5,1,664,0,7,"-5,033",0
2018,45,Field,Chris Cook,1,0,0,0,0,109,0,36,31,1,216.91,0,6,"-5,034",0
2018,46,Field,Tomy Drissi,1,0,0,0,0,108,0,37,32,1,214.92,0,5,"-5,035",0
2018,47,Field,Danica Patrick,1,0,0,0,0,101,0,28,35,0,252.5,0,2,"-5,038",0
2018,48,Field,Alon Day,1,0,0,0,0,383,0,34,38,1,287.25,0,1,"-5,039",0
2018,49,Field,Stanton Barrett,1,0,0,0,0,11,0,39,40,0,25.07,0,1,"-5,039",0
2018,50,Field,Hermie Sadler,1,0,0,0,0,230,0,31,40,0,120.98,0,1,"-5,039",0
2018,51,Field,Ross Chastain,34,0,0,0,0,8945,1,31.8,28.4,28,12036.27,3,0,"-5,040",0
2018,52,Field,Landon Cassill,29,0,0,0,0,7832,0,33.9,29.7,26,10097.03,2,0,"-5,040",0
2018,53,Field,Timmy Hill,21,0,0,0,0,4393,0,37.1,35.7,11,5980.26,0,0,"-5,040",0
2018,54,Field,J.J. Yeley,18,0,0,0,0,4674,0,34.7,31,13,6299.45,2,0,"-5,040",0
2018,55,Field,Reed Sorenson,14,0,0,0,0,3297,0,34.7,32.6,8,4463.07,0,0,"-5,040",0
2018,56,Field,B.J. McLeod,14,0,0,0,0,3443,0,35.1,33.5,13,5201.98,0,0,"-5,040",0
2018,57,Field,D.J. Kennington,10,0,0,0,0,2962,0,33.9,26.5,10,3582.5,2,0,"-5,040",0
2018,58,Field,Joey Gase,8,0,0,0,0,2077,0,35.9,31.1,5,2944.92,1,0,"-5,040",0
2018,59,Field,Brendan Gaughan,4,0,0,0,0,747,2,24.8,18.5,3,1928.46,3,0,"-5,040",0
2018,60,Field,Parker Kligerman,4,0,0,0,0,922,0,31.8,26.2,4,1521.91,1,0,"-5,040",0
2018,61,Field,Justin Marks,3,0,0,0,0,423,1,31,22.3,3,978.14,0,0,"-5,040",0
2018,62,Field,Cole Custer,3,0,0,0,0,820,0,22.7,25.7,3,1093,1,0,"-5,040",0
2018,63,Field,Garrett Smithley,3,0,0,0,0,445,0,36.7,35.7,2,764.5,0,0,"-5,040",0
2018,64,Field,Daniel Hemric,2,0,0,0,0,508,0,16.5,27.5,2,547.76,1,0,"-5,040",0
2018,65,Field,Jesse Little,2,0,0,0,0,312,0,35.5,35,1,410.94,0,0,"-5,040",0
2018,66,Field,David Starr,2,0,0,0,0,344,0,38,39,1,573,0,0,"-5,040",0
2018,67,Field,David Gilliland,1,0,0,0,0,206,0,39,14,1,515,0,0,"-5,040",0
2018,68,Field,"Ray Black, Jr.",1,0,0,0,0,167,0,39,16,1,417.5,0,0,"-5,040",0
2018,69,Field,Timothy Peters,1,0,0,0,0,187,0,32,23,1,497.42,0,0,"-5,040",0
2018,70,Field,Jeb Burton,1,0,0,0,0,489,0,39,33,1,257.21,0,0,"-5,040",0
2018,71,Field,Chad Finchum,1,0,0,0,0,335,0,38,33,0,178.55,0,0,"-5,040",0
2018,72,Field,Spencer Gallagher,1,0,0,0,0,73,0,34,35,1,178.85,0,0,"-5,040",0
2018,73,Field,Josh Bilicki,1,0,0,0,0,69,0,33,36,0,169.05,0,0,"-5,040",0
2017,1,Lazy Dog Dad,"Martin Truex, Jr.",36,8,19,26,3,10368,2253,6.8,9.4,30,13512.89,29,5040,0,54
2017,2,Gator Mom,Kyle Busch,36,5,14,22,8,10284,2023,7.2,11.5,32,13530.25,28,5035,-5,39
2017,3,Slobber Racing,Kevin Harvick,36,2,14,23,4,10155,850,8.8,11.1,32,13389.73,29,5033,-7,16
2017,4,Gator Dad,Brad Keselowski,36,3,15,21,2,9493,778,8.8,12.4,31,12538.51,28,5030,-10,23
2017,5,Lazy Dog Mom,Chase Elliott,36,0,12,21,1,10034,560,10.8,12,32,13058.76,27,2377,"-2,663",2
2017,6,Gator Dad,Denny Hamlin,36,2,15,22,2,10359,710,8.4,11.6,32,13727.43,28,2353,"-2,687",9
2017,7,Ridge Racing,Matt Kenseth,36,1,10,18,2,10113,421,10.4,14.2,30,13388.77,27,2344,"-2,696",8
2017,8,Gator Dad,Kyle Larson,36,4,15,20,3,9776,1352,11.3,13.3,29,13095.49,25,2320,"-2,720",28
2017,9,Lazy Dog Dad,Ryan Blaney,36,1,4,14,2,10395,301,10.3,17.2,31,13776.4,21,2305,"-2,735",9
2017,10,Slobber Racing,Jimmie Johnson,36,3,4,11,0,9955,217,16.9,16.8,29,12909.21,25,2260,"-2,780",16
2017,11,Slobber Racing,Austin Dillon,36,1,3,4,0,10146,12,19.1,18.6,31,13498.54,21,2224,"-2,816",5
2017,12,Julian Gangsta,Jamie McMurray,36,0,3,17,0,9824,21,10.1,14.6,31,12973.06,26,2224,"-2,816",0
2017,13,Lazy Dog Dad,"Ricky Stenhouse, Jr.",36,2,4,9,1,9979,56,15.9,17.1,30,13119.62,24,2222,"-2,818",10
2017,14,Ridge Racing,Kurt Busch,36,1,6,15,1,9837,16,11.8,16.5,29,13302.77,22,2217,"-2,823",5
2017,15,Gator Mom,Kasey Kahne,36,1,3,6,0,10068,41,17.9,19.4,29,13226.39,20,2198,"-2,842",5
