Season,Rank,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2017,32,Matt DiBenedetto,36,0,0,2,0,9617,12,28.9,27.1,30,12831.67,9,363,"-4,677",0
2018,4,Kyle Busch,36,8,22,28,4,10001,1469,7.4,8.3,33,13319.36,31,5033,-7,46
2018,31,Trevor Bayne,21,0,0,0,0,5752,0,20.6,23.9,15,7504.62,4,287,"-4,753",0
2018,23,William Byron,36,0,0,4,0,9352,61,17.7,22.1,27,12396.47,13,587,"-4,453",0
2017,29,Aric Almirola,29,0,3,6,0,8509,2,22.4,18.8,26,10606.64,19,502,"-4,538",0
2017,1,"Martin Truex, Jr.",36,8,19,26,3,10368,2253,6.8,9.4,30,13512.89,29,5040,0,54
2017,23,Paul Menard,36,0,2,3,0,10405,5,21.7,19.6,33,13803.77,20,631,"-4,409",0
2017,13,"Ricky Stenhouse, Jr.",36,2,4,9,1,9979,56,15.9,17.1,30,13119.62,24,2222,"-2,818",10
2017,9,Ryan Blaney,36,1,4,14,2,10395,301,10.3,17.2,31,13776.4,21,2305,"-2,735",9
2017,5,Chase Elliott,36,0,12,21,1,10034,560,10.8,12,32,13058.76,27,2377,"-2,663",2
2017,20,Daniel Suarez,36,0,1,12,0,10084,40,13.9,16.2,30,13239.69,26,777,"-4,263",1
2017,34,Gray Gaulding,27,0,0,1,0,7787,0,34.6,31.2,21,9597.1,2,164,"-4,876",0
2017,22,Trevor Bayne,36,0,2,6,0,10227,8,21.1,19.5,31,13512.7,20,660,"-4,380",0
2018,24,Chris Buescher,36,0,2,2,0,9759,1,21.6,21,33,13347.85,13,585,"-4,455",0
2018,30,Kasey Kahne,25,0,1,1,0,6584,30,26,22.8,22,9031.2,7,358,"-4,682",0
2018,27,Ty Dillon,36,0,0,1,0,9871,3,27.2,24.1,32,13031.91,11,482,"-4,558",0
2018,8,Brad Keselowski,36,3,12,20,0,9788,705,10.3,13.4,30,12763.11,27,2343,"-2,697",20
2018,20,Jamie McMurray,36,0,2,8,0,9799,9,18.1,18.9,31,12973.62,17,683,"-4,357",0
2018,32,Matt Kenseth,15,0,0,2,0,4162,5,21.9,19.9,14,5555.69,7,268,"-4,772",1
2017,36,Jeffrey Earnhardt,34,0,0,0,0,7806,0,36.1,33.5,20,10023.82,0,145,"-4,895",0
2017,17,Joey Logano,36,1,10,17,2,10346,376,12.4,15.2,32,13583.91,23,930,"-4,110",1
2017,14,Kurt Busch,36,1,6,15,1,9837,16,11.8,16.5,29,13302.77,22,2217,"-2,823",5
2017,7,Matt Kenseth,36,1,10,18,2,10113,421,10.4,14.2,30,13388.77,27,2344,"-2,696",8
2017,16,Ryan Newman,36,1,7,13,0,10075,46,17.1,15.8,32,13268.69,23,2196,"-2,844",5
2017,11,Austin Dillon,36,1,3,4,0,10146,12,19.1,18.6,31,13498.54,21,2224,"-2,816",5
2017,33,Cole Whitt,36,0,0,0,0,9724,3,32.1,28.2,27,12735.21,4,322,"-4,718",0
2017,10,Jimmie Johnson,36,3,4,11,0,9955,217,16.9,16.8,29,12909.21,25,2260,"-2,780",16
2017,3,Kevin Harvick,36,2,14,23,4,10155,850,8.8,11.1,32,13389.73,29,5033,-7,16
2017,24,Ty Dillon,36,0,0,0,0,10210,40,26.2,20.7,33,13526.47,20,593,"-4,447",0
2018,28,Bubba Wallace,36,0,1,3,0,9391,19,24.8,24.5,30,12797.06,6,471,"-4,569",0
2018,15,Erik Jones,36,1,9,18,1,9836,99,10.6,14,33,12850.7,24,2220,"-2,820",5
2018,2,"Martin Truex, Jr.",36,4,20,21,4,9760,1016,9.9,10.7,31,12987.83,30,5035,-5,30
