Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2019,9,Landon Cassill,25,36,35,20,36,33,-11,10,21,0,0,11,0,0,0,0,322,36.8
2019,9,Michael McDowell,18,26,36,18,31,31,-12,15,27,0,0,0,0,0,0,0,240,38.2
2019,9,Kyle Larson,10,37,37,10,31,30,-21,7,28,5,71.4,2,74,59.2,0,0,125,50
2019,8,Kyle Busch,17,5,1,1,36,7,16,73,57,43,58.9,40,434,86.8,71,14.2,500,119.2
2019,8,Kurt Busch,27,6,2,2,27,9,18,86,68,57,66.3,15,437,87.4,0,0,500,102.8
2019,8,Joey Logano,7,1,3,1,10,3,21,59,38,58,98.3,71,500,100,146,29.2,500,132.3
2019,8,Ryan Blaney,3,2,4,1,10,3,6,54,48,52,96.3,35,500,100,158,31.6,500,126.7
2019,8,Denny Hamlin,5,13,5,1,17,11,-5,84,89,82,97.6,5,488,97.6,7,1.4,500,88.7
2019,8,Paul Menard,9,16,6,3,19,15,-7,37,44,31,83.8,0,168,33.6,0,0,500,76.2
2019,8,Clint Bowyer,8,8,7,1,17,6,13,66,53,61,92.4,32,470,94,24,4.8,500,110.2
2019,8,Daniel Suarez,20,10,8,3,20,12,14,70,56,57,81.4,6,342,68.4,0,0,500,91.4
2019,8,Ryan Newman,11,3,9,1,18,9,-8,77,85,71,92.2,3,479,95.8,0,0,500,94.1
2019,8,Jimmie Johnson,10,14,10,3,18,10,10,85,75,83,97.6,2,479,95.8,0,0,500,89.9
2019,8,Chase Elliott,1,12,11,1,18,10,9,69,60,61,88.4,15,403,80.6,38,7.6,500,91.2
2019,8,Matt DiBenedetto,21,11,12,6,25,12,14,125,111,86,68.8,0,392,78.4,0,0,500,78.8
2019,8,Kevin Harvick,13,22,13,12,37,24,18,41,23,4,9.8,82,12,2.4,0,0,500,70.4
2019,8,Austin Dillon,15,9,14,7,23,13,-20,76,96,54,71.1,1,381,76.2,0,0,500,74.2
2019,8,Ty Dillon,24,15,15,1,24,13,3,78,75,71,91,2,469,93.8,6,1.2,500,74.6
2019,8,William Byron,2,17,16,2,34,17,5,61,56,16,26.2,1,149,29.8,0,0,500,64.7
2019,8,"Martin Truex, Jr.",23,24,17,2,25,14,-7,72,79,40,55.6,30,227,45.5,0,0,499,92.1
2019,8,Brad Keselowski,12,4,18,1,18,6,4,81,77,74,91.4,33,470,94.2,40,8,499,100
2019,8,Kyle Larson,16,23,19,10,34,22,-16,47,63,24,51.1,13,75,15,0,0,499,61.4
2019,8,Bubba Wallace,28,19,20,8,28,21,12,34,22,0,0,0,1,0.2,0,0,499,53.5
2019,8,David Ragan,22,20,21,14,25,20,-3,37,40,2,5.4,0,10,2,0,0,498,58.8
2019,8,Chris Buescher,25,7,22,3,25,11,-9,72,81,38,52.8,3,384,77.1,0,0,498,76.6
2019,8,Alex Bowman,14,27,23,5,32,23,-15,38,53,18,47.4,1,104,20.9,0,0,497,64.7
2019,8,Erik Jones,4,18,24,1,31,20,-30,48,78,12,25,20,118,23.7,10,2,497,66.8
2019,8,Ryan Preece,30,28,25,25,35,28,18,27,9,0,0,1,0,0,0,0,496,43.2
2019,8,Landon Cassill,31,26,26,10,31,26,-3,31,34,0,0,1,1,0.2,0,0,495,44.9
2019,8,Matt Tifft,29,30,27,23,31,27,-10,10,20,0,0,1,0,0,0,0,494,43.4
2019,8,Michael McDowell,18,25,28,15,28,25,-18,34,52,1,2.9,0,4,0.8,0,0,493,49.2
2019,8,Ross Chastain,37,29,29,9,37,28,0,24,24,0,0,1,1,0.2,0,0,491,42.7
2019,8,Daniel Hemric,26,31,30,11,33,28,9,47,38,0,0,1,1,0.2,0,0,490,46.2
2019,8,Bayley Currey,34,32,31,28,34,31,1,9,8,0,0,0,0,0,0,0,488,35.5
2019,8,Quin Houff,36,33,32,30,36,33,1,8,7,0,0,2,0,0,0,0,476,29.9
2019,8,"Ricky Stenhouse, Jr.",19,35,33,19,36,35,-2,4,6,0,0,5,0,0,0,0,395,35.3
2019,8,Corey LaJoie,32,21,34,19,32,27,-10,39,49,0,0,0,0,0,0,0,308,43.3
2019,8,Timmy Hill,35,34,35,29,36,34,-2,8,10,0,0,0,0,0,0,0,239,28.2
2019,8,Gray Gaulding,33,36,36,25,33,34,-14,18,32,0,0,0,0,0,0,0,142,32.7
2019,8,Aric Almirola,6,37,37,3,37,37,-12,1,13,1,100,0,1,33.3,0,0,3,23.2
2019,7,Denny Hamlin,6,1,1,1,35,9,7,112,105,71,63.4,22,283,84.7,45,13.5,334,119.2
2019,7,Clint Bowyer,25,11,2,1,29,9,14,135,121,82,60.7,23,281,84.1,3,0.9,334,104.3
2019,7,Daniel Suarez,4,4,3,1,35,9,13,140,127,95,67.9,25,297,88.9,9,2.7,334,111.4
2019,7,Erik Jones,11,20,4,1,38,15,27,125,98,56,44.8,7,162,48.5,30,9,334,85.3
2019,7,Jimmie Johnson,1,9,5,1,35,8,7,107,100,74,69.2,14,317,94.9,60,18,334,104.4
2019,7,William Byron,2,8,6,1,35,8,7,101,94,72,71.3,16,309,92.5,15,4.5,334,101.9
2019,7,Aric Almirola,21,12,7,1,39,10,-6,122,128,67,54.9,6,263,78.7,3,0.9,334,92.2
2019,7,Kevin Harvick,23,16,8,2,32,12,-5,113,118,62,54.9,12,245,73.4,0,0,334,84.7
2019,7,Kurt Busch,30,14,9,2,30,13,0,161,161,83,51.6,28,242,72.5,0,0,334,92.8
2019,7,Kyle Busch,16,2,10,1,35,7,9,109,100,67,61.5,45,277,82.9,66,19.8,334,126
2019,7,Ryan Newman,18,6,11,2,31,12,8,136,128,64,47.1,0,211,63.2,0,0,334,76.7
2019,7,"Martin Truex, Jr.",20,18,12,1,35,11,-8,113,121,63,55.8,0,269,80.5,10,3,334,81.7
2019,7,Chase Elliott,3,13,13,1,35,9,-15,107,122,65,60.7,30,288,86.2,35,10.5,334,107.7
2019,7,Austin Dillon,5,19,14,1,35,11,-21,123,144,77,62.6,8,263,78.7,5,1.5,334,88.7
2019,7,Michael McDowell,15,10,15,5,35,15,4,107,103,57,53.3,0,183,54.8,0,0,334,69.3
2019,7,"Ricky Stenhouse, Jr.",17,7,16,4,35,16,3,118,115,54,45.8,2,188,56.5,0,0,333,66.8
2019,7,Joey Logano,8,15,17,1,35,12,15,118,103,59,50,7,181,54.4,8,2.4,333,97.1
2019,7,Alex Bowman,24,21,18,8,34,21,9,106,97,14,13.2,9,24,7.2,0,0,333,59.5
2019,7,Paul Menard,14,5,19,2,35,15,-1,113,114,45,39.8,7,174,52.3,0,0,333,77.2
2019,7,Chris Buescher,19,25,20,6,39,19,3,113,110,29,25.7,3,44,13.2,0,0,333,60.7
2019,7,Ty Dillon,9,22,21,3,35,21,-6,105,111,35,33.3,0,63,19,0,0,332,64
2019,7,Ryan Preece,27,24,22,3,36,25,11,105,94,8,7.6,1,6,1.8,0,0,332,48.6
2019,7,Bubba Wallace,10,27,23,10,35,23,-19,81,100,9,11.1,0,7,2.1,0,0,332,53.8
2019,7,Matt Tifft,29,26,24,1,33,26,1,93,92,0,0,0,0,0,0,0,332,49.3
2019,7,David Ragan,28,28,25,13,39,25,-15,78,93,0,0,0,0,0,0,0,331,52.3
2019,7,Matt DiBenedetto,26,23,26,7,39,24,-11,92,103,10,10.9,0,7,2.1,0,0,331,51.2
2019,7,Parker Kligerman,33,30,27,10,37,29,2,48,46,0,0,0,0,0,0,0,330,43.7
2019,7,Corey LaJoie,31,29,28,5,39,31,-1,49,50,0,0,0,0,0,0,0,330,39.2
2019,7,Ross Chastain,35,31,29,11,35,31,7,45,38,0,0,0,2,0.6,0,0,329,39.8
